nomination_id,year,award,name,is_winner,movie
1301,2013,Best New Director, Wounded,Winner,Fernando Franco García
1302,2013,Best New Director, The Plague,Nominated,Neus Ballús
1303,2013,Best New Director, Mindscape,Nominated,Jorge Dorado
1304,2013,Best New Director, Stockholm,Nominated,Rodrigo Sorogoyen
1305,2013,Best Animated Film,,Winner,Underdogs
1306,2013,Best Animated Film,,Nominated,El Extraordinario Viaje de Lucius Dumb
1307,2013,Best Animated Film,,Nominated,Hiroku: Defenders of Gaia
1308,2013,Best Animated Film,,Nominated,Justin and the Knights of Valour
1309,2014,Best Film,,Winner,Marshland
1310,2014,Best Film,,Nominated,El Niño
1311,2014,Best Film,,Nominated,Loreak
1312,2014,Best Film,,Nominated,Wild Tales
1313,2014,Best Film,,Nominated,Magical Girl
1314,2014,Best Director,Alberto Rodríguez,Winner, Marshland
1315,2014,Best Director,Daniel Monzón,Nominated, El Niño
1316,2014,Best Director,Carlos Vermut,Nominated, Magical Girl
1317,2014,Best Director,Damián Szifrón,Nominated, Wild Tales
1318,2014,Best Actor,Javier Gutiérrez,Winner, Marshland
1319,2014,Best Actor,Raúl Arévalo,Nominated, Marshland
1320,2014,Best Actor,Ricardo Darín,Nominated, Wild Tales
1321,2014,Best Actor,Luis Bermejo,Nominated, Magical Girl
1322,2014,Best Actress,Bárbara Lennie,Winner, Magical Girl
1323,2014,Best Actress,María León,Nominated, Marsella
1324,2014,Best Actress,Macarena Gómez,Nominated, Shrew's Nest
1325,2014,Best Actress,Elena Anaya,Nominated, Todos Están Muertos
1326,2014,Best Supporting Actor,Karra Elejalde,Winner, Spanish Affair
1327,2014,Best Supporting Actor,Eduard Fernández,Nominated, El Niño
1328,2014,Best Supporting Actor,Antonio de la Torre,Nominated, Marshland
1329,2014,Best Supporting Actor,José Sacristán,Nominated, Magical Girl
1330,2014,Best Supporting Actress,Carmen Machi,Winner, Spanish Affair
1331,2014,Best Supporting Actress,Mercedes León,Nominated, Marshland
1332,2014,Best Supporting Actress,Bárbara Lennie,Nominated, El Niño
1333,2014,Best Supporting Actress,Goya Toledo,Nominated, Marsella
1334,2014,Best New Actor,Dani Rovira,Winner, Spanish Affair
1335,2014,Best New Actor,David Verdaguer,Nominated," 10,000 km"
1336,2014,Best New Actor,Jesús Castro,Nominated, El Niño
1337,2014,Best New Actor,Israel Elejalde,Nominated, Magical Girl
1338,2014,Best New Actress,Nerea Barros,Winner, Marshland
1339,2014,Best New Actress,Natalia Tena,Nominated," 10,000 km"
1340,2014,Best New Actress,Yolanda Ramos,Nominated, Carmina y Amén
1341,2014,Best New Actress,Ingrid García Jonsson,Nominated, Beautiful Youth
1342,2014,Best Original Screenplay, Alberto Rodríguez and Rafael Cobos,Winner,Marshland
1343,2014,Best Original Screenplay, Daniel Monzón and Jorge Guerricaechevarría,Nominated,El Niño
1344,2014,Best Original Screenplay, Carlos Vermut,Nominated,Magical Girl
1345,2014,Best Original Screenplay, Damián Szifrón,Nominated,Wild Tales
1346,2014,Best Adapted Screenplay," Javier Fesser, Claro García and Cristóbal Ruiz",Winner,Mortadelo and Filemon: Mission Implausible
1347,2014,Best Adapted Screenplay, Ignacio Vilar and Carlos Asorey,Nominated,A Esmorga
1348,2014,Best Adapted Screenplay," Chema Rodríguez, Pablo Burgués and David Planell",Nominated,Anochece en la India
1349,2014,Best Adapted Screenplay, Anna Soler-Pont,Nominated,Rastres de Sàndal
1350,2014,Best Spanish Language Foreign Film,Argentina/Spain,Winner,Wild Tales 
1351,2014,Best Spanish Language Foreign Film,Uruguay,Nominated,Mr. Kaplan 
1352,2014,Best Spanish Language Foreign Film,Cuba,Nominated,Behavior 
1353,2014,Best Spanish Language Foreign Film,Venezuela/Spain,Nominated,La Distancia Más Larga 
1354,2014,Best European Film,Poland/Denmark,Winner,Ida 
1355,2014,Best European Film,France/Brazil,Nominated,The Salt of the Earth 
1356,2014,Best European Film,Sweden,Nominated,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared 
1357,2014,Best European Film,France,Nominated,Serial (Bad) Weddings 
1358,2014,Best New Director," 10,000 km",Winner,Carlos Marqués-Marcet
1359,2014,Best New Director, Shrew's Nest,Nominated,Juanfer Andrés and Esteban Roel
1360,2014,Best New Director, Paco de Lucía: La Búsqueda,Nominated,Curro Sánchez Varela
1361,2014,Best New Director, Todos Están Muertos,Nominated,Beatriz Sanchís
1362,2014,Best Animated Film,,Winner,Mortadelo and Filemon: Mission Implausible
1363,2014,Best Animated Film,,Nominated,Dixie y La Rebelión Zombie
1364,2014,Best Animated Film,,Nominated,La Tropa de Trapo en la Selva del Arco Iris
1365,2015,Best Film,,Winner,Truman
1366,2015,Best Film,,Nominated,A cambio de nada
1367,2015,Best Film,,Nominated,The Bride
1368,2015,Best Film,,Nominated,Nobody Wants the Night
1369,2015,Best Film,,Nominated,A Perfect Day
1370,2015,Best Director,Cesc Gay,Winner, Truman
1371,2015,Best Director,Paula Ortiz,Nominated, The Bride
